id,khabar-gozari,c-comment,tag,TF-IDF,KhabarGozaryMatch,TimeDiff,NE
1141599,Khabaronline,110,new,0.089175157,0,6402360,0
163323,Fardanews,47,old,0.380084227,0,3600,0
1141618,Khabaronline,187,new,0.495691985,0,7740,0.123887641
1141631,Khabaronline,446,new,0.389999059,1,15900,0.264023145
943361,Tabnak,0,old,0.914326869,0,5280,0.703455644
1141659,Khabaronline,145,new,0.361097813,1,10080,0.120791471
943385,Tabnak,0,old,0.982402275,0,22800,0.553590843
163358,Fardanews,47,old,0.984485005,0,11220,1
943445,Tabnak,121,new,0.564189676,0,39180,0.510783569
1141744,Khabaronline,50,old,0.59168708,0,65100,0.69208102
1141752,Khabaronline,136,new,0.203700631,0,62760,0.087164476
163393,Fardanews,99,old,0.959127338,0,78660,0.824048668
943508,Tabnak,0,new,0.392186582,1,41460,0.3484994
943506,Tabnak,10,old,0.974769174,1,360,0.636543305
163402,Fardanews,253,old,0.906708108,0,2640,1
943549,Tabnak,0,old,0.560217952,1,46680,0.752618228
1141775,Khabaronline,73,new,0.363703579,0,7500,0.618865267
943593,Tabnak,0,old,0.4802435,1,10260,0.26733253
943601,Tabnak,48,new,0.399506196,0,82920,0.5509244
1141800,Khabaronline,18,old,0.890164788,0,1560,1
1141798,Khabaronline,93,old,0.369535894,0,840,0.730664783
1141806,Khabaronline,413,new,0.603345572,0,3120,0.748405321
1141838,Khabaronline,46,new,0.384710068,1,98640,0.398675389
163472,Fardanews,25,old,0.956654525,0,13740,0.982003205
943776,Tabnak,0,new,0.173163333,0,90120,1
1141920,Khabaronline,0,new,0.110502918,1,105480,0.114952823
1142008,Khabaronline,96,new,0.111840109,0,156780,0.749330635
163595,Fardanews,92,new,0.253948642,0,178260,0.566482773
944012,Tabnak,3,new,0.297282056,1,211440,0.444952144
944099,Tabnak,0,new,0.204022442,0,84600,0.083542594
1142134,Khabaronline,3,new,0.285889763,1,85680,0.143599553
1142140,Khabaronline,8,new,0.40095847,0,3240,0.946368827
163703,Fardanews,7,new,0.212154063,0,295440,0.3414736
944271,Tabnak,0,old,0.981318031,0,3120,0.716564379
944301,Tabnak,0,old,1,0,11400,1
944346,Tabnak,0,new,0.274560582,0,256200,0.342870897
163749,Fardanews,2,old,0.389797226,0,260760,0.378468521
1142253,Khabaronline,81,old,0.853888081,0,180,0.678074722
944367,Tabnak,0,old,0.990007674,0,4860,0.92734967
1142294,Khabaronline,197,old,0.166449553,0,345240,0.233039574
1142295,Khabaronline,39,old,0.948921201,0,69840,0.906399165
1142358,Khabaronline,51,old,0.290661814,1,184080,0.49023663
1142425,Khabaronline,102,new,0.257327047,0,415380,0.541737606
944561,Tabnak,0,old,0.886377139,0,3840,0.984475867
944569,Tabnak,27,old,0.992997531,1,960,1
163832,Fardanews,53,old,0.999248574,0,840,1
944587,Tabnak,0,old,1,0,1260,1
944820,Tabnak,0,new,0.216595299,0,432180,0.59001423
1142618,Khabaronline,11,old,0.299429269,0,297780,0.573733297
1142686,Khabaronline,78,new,0.253720442,0,478080,0.289017715
164068,Fardanews,49,new,0.187387839,0,547080,0.163603712
945427,Tabnak,0,new,0.302901239,0,181560,0.52119938
1143086,Khabaronline,62,old,0.769564083,0,4200,1
1143280,Khabaronline,30,new,0.174996729,1,279900,0.438767274
164463,Fardanews,1,new,0.199047038,1,986700,0.73537958
164503,Fardanews,23,new,0.073304953,0,814740,1
946060,Tabnak,0,old,1,0,3420,1
947514,Tabnak,0,new,0.641422224,0,1126140,0.681098208
165257,Fardanews,1,old,0.969526094,0,1500,0.82498187
947529,Tabnak,0,old,0.98559816,1,1620,0.917875515
1144651,Khabaronline,0,old,0.982147299,0,780,1
947598,Tabnak,0,old,0.194860823,1,13380,0.295026132
165279,Fardanews,4,old,0.990970171,0,120,0.948836322
947637,Tabnak,0,old,0.998944253,0,3900,1
1144720,Khabaronline,6,old,0.996715081,0,5160,0.919071755
1144804,Khabaronline,57,new,0.340807593,0,1281180,0.534654339
947728,Tabnak,0,old,0.925253201,0,13980,0.987484174
1145553,Khabaronline,2,new,0.260639182,1,1447980,0.157322356
1145808,Khabaronline,6,old,0.917141473,1,100500,1
166134,Fardanews,0,old,0.951015493,0,18300,0.660302286
1146264,Khabaronline,1,new,0.200790607,1,1828560,0.352437281
1146265,Khabaronline,10,old,0.995081601,1,300,1
1146313,Khabaronline,0,new,0.335278294,1,140400,0.451173926
1146971,Khabaronline,24,new,0.256187097,0,2347740,0.462750773
950538,Tabnak,0,old,0.940599693,0,1260,0.977908615
168189,Fardanews,0,new,0.276557259,0,2462160,0.426526097
953969,Tabnak,0,old,1,0,6420,1
1149505,Khabaronline,13,old,0.604888645,0,17820,0.520399198
954031,Tabnak,0,old,0.90135671,0,660,1
954083,Tabnak,2,old,0.963737646,0,24300,1
954124,Tabnak,0,old,0.716985818,1,56040,0.824701961
956850,Tabnak,0,new,0.453413967,0,1204320,0.31813621
956998,Tabnak,0,new,0.197358144,0,5332860,0.487187658
169624,Fardanews,2,old,0.835536575,0,1080,0.966978394
1151657,Khabaronline,46,old,0.522462928,0,5446560,0.536558214
169650,Fardanews,51,old,0.339555115,0,4902240,0.575408316
957043,Tabnak,0,old,1,0,15840,1
169698,Fardanews,5,old,0.580010208,0,1218600,0.613440646
1151875,Khabaronline,26,new,0.176267968,0,95640,0.630299157
957321,Tabnak,0,old,0.34619213,0,5447760,0.53412086
1151888,Khabaronline,248,new,0.582292832,1,126900,0.387840577
169795,Fardanews,15,old,0.397132909,1,140940,0.396629668
169796,Fardanews,1,old,0.309154135,0,168300,0.47016834
957327,Tabnak,0,old,0.901445479,0,2040,1
957352,Tabnak,0,old,0.952099727,1,2820,1
957357,Tabnak,0,old,1,0,5280,1
1151903,Khabaronline,521,new,0.504399282,0,6720,0.470850003
1152844,Khabaronline,159,new,0.207238025,0,455100,0.482217529
170227,Fardanews,2,old,0.923631872,0,5220,1
958180,Tabnak,0,old,1,0,9480,1
170269,Fardanews,6,old,1,1,46200,1
958252,Tabnak,0,old,1,0,56460,1
170298,Fardanews,19,new,0.298544023,1,57660,0.517946068
958329,Tabnak,0,old,1,0,13140,1
