c.comment,tag,TF.IDF,KhabarGozaryMatch,TimeDiff,NE,KeyWordOverLap(0-25)
110,new,0.089175157,0,6402360,0,0
47,old,0.380084227,0,3600,0,8
187,new,0.495691985,0,7740,0.123887641,10
446,new,0.389999059,1,15900,0.264023145,2
0,old,0.914326869,0,5280,0.703455644,17
145,new,0.361097813,1,10080,0.120791471,4
0,old,0.982402275,0,22800,0.553590843,22
47,old,0.984485005,0,11220,1,22
121,new,0.564189676,0,39180,0.510783569,9
50,old,0.59168708,0,65100,0.69208102,6
136,new,0.203700631,0,62760,0.087164476,2
99,old,0.959127338,0,78660,0.824048668,19
0,new,0.392186582,1,41460,0.3484994,5
10,old,0.974769174,1,360,0.636543305,23
253,old,0.906708108,0,2640,1,21
0,old,0.560217952,1,46680,0.752618228,7
73,new,0.363703579,0,7500,0.618865267,4
0,old,0.4802435,1,10260,0.26733253,5
48,new,0.399506196,0,82920,0.5509244,8
18,old,0.890164788,0,1560,1,20
93,old,0.369535894,0,840,0.730664783,8
413,new,0.603345572,0,3120,0.748405321,7
46,new,0.384710068,1,98640,0.398675389,7
25,old,0.956654525,0,13740,0.982003205,20
0,new,0.173163333,0,90120,1,2
0,new,0.110502918,1,105480,0.114952823,0
96,new,0.111840109,0,156780,0.749330635,0
92,new,0.253948642,0,178260,0.566482773,2
3,new,0.297282056,1,211440,0.444952144,1
0,new,0.204022442,0,84600,0.083542594,4
3,new,0.285889763,1,85680,0.143599553,5
8,new,0.40095847,0,3240,0.946368827,5
7,new,0.212154063,0,295440,0.3414736,2
0,old,0.981318031,0,3120,0.716564379,22
0,old,1,0,11400,1,25
0,new,0.274560582,0,256200,0.342870897,3
2,old,0.389797226,0,260760,0.378468521,7
81,old,0.853888081,0,180,0.678074722,20
0,old,0.990007674,0,4860,0.92734967,24
197,old,0.166449553,0,345240,0.233039574,2
39,old,0.948921201,0,69840,0.906399165,22
51,old,0.290661814,1,184080,0.49023663,2
102,new,0.257327047,0,415380,0.541737606,1
0,old,0.886377139,0,3840,0.984475867,16
27,old,0.992997531,1,960,1,24
53,old,0.999248574,0,840,1,24
0,old,1,0,1260,1,25
0,new,0.216595299,0,432180,0.59001423,4
11,old,0.299429269,0,297780,0.573733297,3
78,new,0.253720442,0,478080,0.289017715,4
49,new,0.187387839,0,547080,0.163603712,2
0,new,0.302901239,0,181560,0.52119938,8
62,old,0.769564083,0,4200,1,19
30,new,0.174996729,1,279900,0.438767274,3
1,new,0.199047038,1,986700,0.73537958,0
23,new,0.073304953,0,814740,1,0
0,old,1,0,3420,1,25
0,new,0.641422224,0,1126140,0.681098208,11
1,old,0.969526094,0,1500,0.82498187,24
0,old,0.98559816,1,1620,0.917875515,23
0,old,0.982147299,0,780,1,22
0,old,0.194860823,1,13380,0.295026132,3
4,old,0.990970171,0,120,0.948836322,22
0,old,0.998944253,0,3900,1,25
6,old,0.996715081,0,5160,0.919071755,25
57,new,0.340807593,0,1281180,0.534654339,3
0,old,0.925253201,0,13980,0.987484174,24
2,new,0.260639182,1,1447980,0.157322356,3
6,old,0.917141473,1,100500,1,22
0,old,0.951015493,0,18300,0.660302286,21
1,new,0.200790607,1,1828560,0.352437281,3
10,old,0.995081601,1,300,1,25
0,new,0.335278294,1,140400,0.451173926,6
24,new,0.256187097,0,2347740,0.462750773,4
0,old,0.940599693,0,1260,0.977908615,19
0,new,0.276557259,0,2462160,0.426526097,3
0,old,1,0,6420,1,25
13,old,0.604888645,0,17820,0.520399198,12
0,old,0.90135671,0,660,1,22
2,old,0.963737646,0,24300,1,23
0,old,0.716985818,1,56040,0.824701961,16
0,new,0.453413967,0,1204320,0.31813621,4
0,new,0.197358144,0,5332860,0.487187658,2
2,old,0.835536575,0,1080,0.966978394,20
46,old,0.522462928,0,5446560,0.536558214,5
51,old,0.339555115,0,4902240,0.575408316,6
0,old,1,0,15840,1,25
5,old,0.580010208,0,1218600,0.613440646,11
26,new,0.176267968,0,95640,0.630299157,1
0,old,0.34619213,0,5447760,0.53412086,3
248,new,0.582292832,1,126900,0.387840577,8
15,old,0.397132909,1,140940,0.396629668,7
1,old,0.309154135,0,168300,0.47016834,5
0,old,0.901445479,0,2040,1,22
0,old,0.952099727,1,2820,1,20
0,old,1,0,5280,1,25
521,new,0.504399282,0,6720,0.470850003,8
159,new,0.207238025,0,455100,0.482217529,3
2,old,0.923631872,0,5220,1,20
0,old,1,0,9480,1,25
6,old,1,1,46200,1,25
0,old,1,0,56460,1,25
19,new,0.298544023,1,57660,0.517946068,5
0,old,1,0,13140,1,25
